"WEEK_START","MAIN_BILLER_ID","YEAR","MONTH","WEEK_NUMBER","TOTAL_AMOUNT","TRANSACTION_COUNT","LAST_WEEK_TOTAL_AMOUNT","LAST_WEEK_TRANSACTION_COUNT","LAST_2WEEK_TOTAL_AMOUNT","LAST_2WEEK_TRANSACTION_COUNT","NEXT_WEEK_TOTAL_AMOUNT"
2023-11-07 00:00:00.000,13,2023,11,"45",7886427.93,400292,8213878.79,412282,7825954.21,398293,8029776.65
2023-11-14 00:00:00.000,13,2023,11,"46",8029776.65,409253,7886427.93,400292,8213878.79,412282,8365023.29
2023-11-21 00:00:00.000,13,2023,11,"47",8365023.29,420432,8029776.65,409253,7886427.93,400292,9551238.66
2023-11-28 00:00:00.000,13,2023,11,"48",9551238.66,447685,8365023.29,420432,8029776.65,409253,10132935.46
2023-12-05 00:00:00.000,13,2023,12,"49",10132935.46,502973,9551238.66,447685,8365023.29,420432,9565376.67
2023-12-12 00:00:00.000,13,2023,12,"50",9565376.67,497360,10132935.46,502973,9551238.66,447685,9439286.65
2023-12-19 00:00:00.000,13,2023,12,"51",9439286.65,466067,9565376.67,497360,10132935.46,502973,14349077.62
2023-12-26 00:00:00.000,13,2023,12,"52",14349077.62,661143,9439286.65,466067,9565376.67,497360,14284407.19
2024-01-02 00:00:00.000,13,2024,1,"01",14284407.19,663258,14349077.62,661143,9439286.65,466067,13937628.9
2024-01-09 00:00:00.000,13,2024,1,"02",13937628.9,619659,14284407.19,663258,14349077.62,661143,14659677.02
2024-01-16 00:00:00.000,13,2024,1,"03",14659677.02,651570,13937628.9,619659,14284407.19,663258,15451218.77
2024-01-23 00:00:00.000,13,2024,1,"04",15451218.77,666730,14659677.02,651570,13937628.9,619659,16471111.46
2024-01-30 00:00:00.000,13,2024,1,"05",16471111.46,707738,15451218.77,666730,14659677.02,651570,16766358.99
2024-02-06 00:00:00.000,13,2024,2,"06",16766358.99,709509,16471111.46,707738,15451218.77,666730,16093441.78
2024-02-13 00:00:00.000,13,2024,2,"07",16093441.78,699983,16766358.99,709509,16471111.46,707738,16129425.404
2024-02-20 00:00:00.000,13,2024,2,"08",16129425.404,696739,16093441.78,699983,16766358.99,709509,16984194.5708
2024-02-27 00:00:00.000,13,2024,2,"09",16984194.5708,727130,16129425.404,696739,16093441.78,699983,15191657.3178
2024-03-05 00:00:00.000,13,2024,3,"10",15191657.3178,668761,16984194.5708,727130,16129425.404,696739,15077583.6776
2024-03-12 00:00:00.000,13,2024,3,"11",15077583.6776,637154,15191657.3178,668761,16984194.5708,727130,14889853.7572
2024-03-19 00:00:00.000,13,2024,3,"12",14889853.7572,626806,15077583.6776,637154,15191657.3178,668761,17182347.531
2024-03-26 00:00:00.000,13,2024,3,"13",17182347.531,707795,14889853.7572,626806,15077583.6776,637154,16478369.2246
2024-04-02 00:00:00.000,13,2024,4,"14",16478369.2246,695705,17182347.531,707795,14889853.7572,626806,17804028.8512
2024-04-09 00:00:00.000,13,2024,4,"15",17804028.8512,780565,16478369.2246,695705,17182347.531,707795,17960269.7946
2024-04-16 00:00:00.000,13,2024,4,"16",17960269.7946,734344,17804028.8512,780565,16478369.2246,695705,18991205.4966
2024-04-23 00:00:00.000,13,2024,4,"17",18991205.4966,773911,17960269.7946,734344,17804028.8512,780565,20564581.2584
2024-04-30 00:00:00.000,13,2024,4,"18",20564581.2584,787508,18991205.4966,773911,17960269.7946,734344,17538805.9756
2024-05-07 00:00:00.000,13,2024,5,"19",17538805.9756,733972,20564581.2584,787508,18991205.4966,773911,16601596.4614
2024-05-14 00:00:00.000,13,2024,5,"20",16601596.4614,741637,17538805.9756,733972,20564581.2584,787508,17977517.4076
2024-05-21 00:00:00.000,13,2024,5,"21",17977517.4076,768933,16601596.4614,741637,17538805.9756,733972,18539752.0528
2024-05-28 00:00:00.000,13,2024,5,"22",18539752.0528,758146,17977517.4076,768933,16601596.4614,741637,17062137.8124
2024-06-04 00:00:00.000,13,2024,6,"23",17062137.8124,738069,18539752.0528,758146,17977517.4076,768933,17942662.2816
2024-06-11 00:00:00.000,13,2024,6,"24",17942662.2816,770584,17062137.8124,738069,18539752.0528,758146,15853638.9512
2024-06-18 00:00:00.000,13,2024,6,"25",15853638.9512,668707,17942662.2816,770584,17062137.8124,738069,18434347.14
2024-06-25 00:00:00.000,13,2024,6,"26",18434347.14,730235,15853638.9512,668707,17942662.2816,770584,19410071.0324
2024-07-02 00:00:00.000,13,2024,7,"27",19410071.0324,785249,18434347.14,730235,15853638.9512,668707,18427545.2992
2024-07-09 00:00:00.000,13,2024,7,"28",18427545.2992,763885,19410071.0324,785249,18434347.14,730235,18643221.676
2024-07-16 00:00:00.000,13,2024,7,"29",18643221.676,780921,18427545.2992,763885,19410071.0324,785249,17995579.7688
2024-07-23 00:00:00.000,13,2024,7,"30",17995579.7688,741216,18643221.676,780921,18427545.2992,763885,17177956.95682
2024-07-30 00:00:00.000,13,2024,7,"31",17177956.95682,700360,17995579.7688,741216,18643221.676,780921,19124599.19432
2024-08-06 00:00:00.000,13,2024,8,"32",19124599.19432,816727,17177956.95682,700360,17995579.7688,741216,18598333.22734
2024-08-13 00:00:00.000,13,2024,8,"33",18598333.22734,789858,19124599.19432,816727,17177956.95682,700360,19463655.85661
2024-08-20 00:00:00.000,13,2024,8,"34",19463655.85661,808948,18598333.22734,789858,19124599.19432,816727,20330670.97089
